Kinnelon	10,157	0.0666667	2.16667
Bergenfield	10,080	0.333333	3.4
Mount Olive Township	27,684	0.133333	3.33333
Tenafly	28,994	0.266667	4.53333
Chatham Township	14,742	0.233333	3.8
Bernards Township	10,288	0.1	3.63333
Dumont	26,813	0.0333333	3.66667
Sparta Township	17,825	0.233333	4.3
Washington Township	18,694	0.3	3.5
Warren Township	18,484	0.08	0.54
Monroe Township, Middlesex County	15,951	0.166667	3.1
New Milford	45,597	0.0333333	1.16667
Woolwich Township	16,701	0.166667	3.3
Mahwah Township	12,636	0.166667	4.36667
Hopatcong	26,501	0.2	4.93333
Clinton Township	14,183	0.566667	5.06667
Glen Rock	12,824	0.1	4.23333
Robbinsville Township	11,937	0.1	6
Hasbrouck Heights	14,710	0.233333	4.7
Jefferson Township	12,163	0.3	5.03333
Hillsdale	21,071	0.4	4
Vernon Township	10,484	0.2	3.5
Raritan Township	22,057	0.233333	7.43333
Montgomery Township	22,092	0.166667	4.53333
New Providence	23,515	0.266667	4.13333
Oakland	13,283	0.0333333	4.63333
Ringwood	13,102	0.566667	5.03333
Berkeley Heights Township	12,303	0.3	3.9
Waldwick	13,646	0.233333	0.2
Randolph Township	10,019	0.166667	5.43333
Madison	25,552	0.2	5.6
Hopewell Township	15,832	0.333333	4.8
Readington Township	18,000	0.233333	4.96667
Franklin Lakes	15,941	0.233333	4.96667
River Edge	11,191	0.2	5.33333
Harrison Township	11,611	0.4	6.23333
Roxbury Township	12,915	0.166667	5.33333
Denville Township	23,010	0.133333	6.7
Wyckoff Township	16,737	0.366667	8.23333
Lincoln Park	17,161	0.266667	5.13333
Morris Township	10,308	0.266667	5.7
Plainsboro Township	22,183	0.366667	6.66667
Branchburg Township	23,243	0.333333	5.23333
Manalapan Township	14,577	0.433333	5.43333
Florham Park	40,150	0.466667	4.63333
Manchester Township	11,602	0.4	5.86667
Middletown Township	42,939	0.4	7
Ridgewood	65,469	0.233333	5.2
Verona	25,429	0.166667	6.7
	13,437		6.96667
			6.1
